,SessionCode,ParticipantID,RoundCode,id_in_group,TimeRequest,Ftime,Ftimems,Ftimems2,Fchoice,NumberClicks,Ltime,Ltimems,Ltimems2,Lchoice,NumberChoices,Rank,FLchoice,ExtraClicks
25,emxl0g1y,q0cuufh4,11,4,0.348,28.0,2.153,1.8050000000000002,yellow,1,28.0,2.153,1.8050000000000002,yellow,1,1,1.0,0.0
26,emxl0g1y,q0cuufh4,12,5,0.316,29.0,1.898,1.5819999999999999,black,1,29.0,1.898,1.5819999999999999,black,1,1,1.0,0.0
27,emxl0g1y,q0cuufh4,13,5,0.332,28.0,2.459,2.1270000000000002,red,2,26.0,4.812,4.48,blue,2,1,0.0,0.0
28,emxl0g1y,q0cuufh4,14,3,0.486,28.0,2.523,2.037,cyan,3,7.0,23.286,22.8,cyan,3,1,1.0,0.0
29,emxl0g1y,q0cuufh4,15,4,0.3,28.0,3.006,2.706,silver,3,12.0,19.063,18.762999999999998,silver,3,1,1.0,0.0
30,emxl0g1y,q0cuufh4,16,5,0.194,25.0,5.712,5.518,magenta,2,16.0,14.346,14.152,black,2,5,0.0,0.0
31,emxl0g1y,q0cuufh4,17,1,0.201,26.0,4.195,3.994,red,2,23.0,7.366,7.165,blue,2,3,0.0,0.0
32,emxl0g1y,4ffu05la,2,2,0.439,24.0,7.072,6.633,green,1,24.0,7.072,6.633,green,1,6,1.0,0.0
33,emxl0g1y,4ffu05la,3,4,0.713,22.0,8.858,8.145000000000001,purple,1,22.0,8.858,8.145000000000001,purple,1,6,1.0,0.0
34,emxl0g1y,4ffu05la,4,6,0.601,26.0,5.332,4.731,magenta,4,4.0,26.772,26.171,black,4,4,0.0,0.0
35,emxl0g1y,4ffu05la,5,6,0.57,27.0,4.48,3.9100000000000006,red,2,17.0,13.631,13.061,blue,2,4,0.0,0.0
36,emxl0g1y,4ffu05la,6,5,0.47,27.0,4.066,3.596,cyan,1,27.0,4.066,3.596,cyan,1,4,1.0,0.0
37,emxl0g1y,4ffu05la,7,2,0.468,25.0,5.623,5.155,teal,1,25.0,5.623,5.155,teal,1,5,1.0,0.0
38,emxl0g1y,4ffu05la,8,2,0.633,27.0,3.656,3.023,beige,1,27.0,3.656,3.023,beige,1,5,1.0,0.0
39,emxl0g1y,4ffu05la,9,3,0.586,17.0,14.304,13.718,red,1,17.0,14.304,13.718,red,1,6,1.0,0.0
40,emxl0g1y,4ffu05la,10,5,0.614,24.0,6.934,6.32,green,1,24.0,6.934,6.32,green,1,5,1.0,0.0
41,emxl0g1y,4ffu05la,11,5,0.501,27.0,4.205,3.704,yellow,1,27.0,4.205,3.704,yellow,1,5,1.0,0.0
42,emxl0g1y,4ffu05la,12,6,0.649,28.0,3.502,2.8529999999999998,black,1,28.0,3.502,2.8529999999999998,black,1,6,1.0,0.0
43,emxl0g1y,4ffu05la,13,2,0.786,26.0,4.827,4.041,red,2,24.0,7.117,6.3309999999999995,blue,2,5,0.0,0.0
44,emxl0g1y,4ffu05la,14,4,0.436,26.0,4.506,4.07,cyan,1,26.0,4.506,4.07,cyan,1,4,1.0,0.0
45,emxl0g1y,4ffu05la,15,3,0.586,25.0,5.888,5.302,teal,3,13.0,18.515,17.929000000000002,teal,3,6,1.0,0.0
46,emxl0g1y,4ffu05la,16,3,0.533,25.0,6.228,5.694999999999999,olive,2,15.0,15.801,15.268,black,2,6,0.0,0.0
47,emxl0g1y,4ffu05la,17,6,0.655,26.0,5.565,4.91,brown,3,1.0,29.734,29.079,red,3,5,0.0,0.0
48,emxl0g1y,uupa7hgi,2,1,0.58,27.0,3.994,3.414,green,3,22.0,8.962,8.382,green,3,3,1.0,0.0
49,emxl0g1y,uupa7hgi,3,6,0.517,28.0,3.261,2.744,yellow,2,18.0,12.867,12.350000000000001,purple,2,1,0.0,0.0
50,emxl0g1y,uupa7hgi,4,1,0.517,29.0,2.519,2.0020000000000002,magenta,4,7.0,24.282,23.765,black,4,1,0.0,0.0
51,emxl0g1y,uupa7hgi,5,2,0.523,28.0,2.76,2.2369999999999997,red,4,10.0,20.999,20.476,blue,4,1,0.0,0.0
52,emxl0g1y,uupa7hgi,6,6,0.486,29.0,2.306,1.82,green,2,24.0,6.515,6.029,cyan,2,1,0.0,0.0
53,emxl0g1y,uupa7hgi,7,6,0.965,28.0,3.286,2.321,yellow,3,22.0,8.985,8.02,teal,3,2,0.0,0.0
54,emxl0g1y,uupa7hgi,8,5,0.617,28.0,3.54,2.923,magenta,5,13.0,17.651,17.034,beige,5,2,0.0,0.0
55,emxl0g1y,uupa7hgi,9,2,0.555,27.0,3.725,3.17,brown,2,15.0,16.24,15.684999999999999,red,2,2,0.0,0.0
56,emxl0g1y,uupa7hgi,10,1,0.629,27.0,3.614,2.985,green,1,27.0,3.614,2.985,green,1,4,1.0,0.0
57,emxl0g1y,uupa7hgi,11,2,0.58,26.0,5.245,4.665,yellow,1,26.0,5.245,4.665,yellow,1,6,1.0,0.0
58,emxl0g1y,uupa7hgi,12,3,0.664,29.0,2.468,1.8039999999999998,magenta,2,27.0,4.467,3.8029999999999995,black,2,2,0.0,0.0
59,emxl0g1y,uupa7hgi,13,6,0.817,28.0,3.362,2.545,red,2,25.0,6.083,5.266,blue,2,3,0.0,0.0
60,emxl0g1y,uupa7hgi,14,6,0.582,25.0,6.195,5.613,pink,2,3.0,27.659,27.076999999999998,cyan,2,6,0.0,0.0
61,emxl0g1y,uupa7hgi,15,1,0.933,29.0,3.053,2.12,silver,12,3.0,28.047,27.114,purple,12,2,0.0,0.0
62,emxl0g1y,uupa7hgi,16,1,0.68,29.0,2.586,1.9059999999999997,magenta,4,22.0,8.693,8.013,black,4,1,0.0,0.0
63,emxl0g1y,uupa7hgi,17,3,0.899,26.0,4.965,4.066,blue,5,1.0,30.721,29.822,blue,5,4,1.0,0.0
64,emxl0g1y,grpzsbn0,2,5,0.539,26.0,5.497,4.958,orange,2,22.0,9.147,8.608,green,2,4,0.0,0.0
65,emxl0g1y,grpzsbn0,3,1,0.539,25.0,6.013,5.474,purple,3,15.0,15.788,15.249,purple,3,5,1.0,0.0
66,emxl0g1y,grpzsbn0,4,4,0.586,22.0,8.834,8.248,black,1,22.0,8.834,8.248,black,1,6,1.0,0.0
67,emxl0g1y,grpzsbn0,5,4,0.476,27.0,3.715,3.239,blue,1,27.0,3.715,3.239,blue,1,2,1.0,0.0
68,emxl0g1y,grpzsbn0,6,4,0.501,25.0,6.136,5.635,cyan,1,25.0,6.136,5.635,cyan,1,6,1.0,0.0
69,emxl0g1y,grpzsbn0,7,3,0.602,25.0,5.977,5.375,teal,1,25.0,5.977,5.375,teal,1,6,1.0,0.0
70,emxl0g1y,grpzsbn0,8,1,0.601,28.0,3.556,2.955,magenta,3,25.0,6.561,5.96,beige,3,3,0.0,0.0
71,emxl0g1y,grpzsbn0,9,5,0.601,27.0,3.763,3.162,red,1,27.0,3.763,3.162,red,1,3,1.0,0.0
72,emxl0g1y,grpzsbn0,10,2,0.579,24.0,7.582,7.003,green,1,24.0,7.582,7.003,green,1,6,1.0,0.0
73,emxl0g1y,grpzsbn0,11,6,0.564,28.0,3.055,2.491,yellow,1,28.0,3.055,2.491,yellow,1,3,1.0,0.0
74,emxl0g1y,grpzsbn0,12,2,0.501,28.0,2.838,2.337,black,1,28.0,2.838,2.337,black,1,4,1.0,0.0
75,emxl0g1y,grpzsbn0,13,1,0.749,27.0,4.627,3.8779999999999997,blue,1,27.0,4.627,3.8779999999999997,blue,1,4,1.0,0.0
76,emxl0g1y,grpzsbn0,14,2,0.535,27.0,3.573,3.038,cyan,3,4.0,27.027,26.492,cyan,3,2,1.0,0.0
77,emxl0g1y,grpzsbn0,15,5,0.532,26.0,4.858,4.326,silver,1,26.0,4.858,4.326,silver,1,5,1.0,0.0
78,emxl0g1y,grpzsbn0,16,2,0.617,28.0,3.471,2.854,black,1,28.0,3.471,2.854,black,1,4,1.0,0.0
79,emxl0g1y,grpzsbn0,17,2,0.57,24.0,7.144,6.574,red,1,24.0,7.144,6.574,red,1,6,1.0,0.0
80,emxl0g1y,lr760p37,2,6,0.755,27.0,3.947,3.192,green,1,27.0,3.947,3.192,green,1,2,1.0,0.0
81,emxl0g1y,lr760p37,3,2,0.686,27.0,4.04,3.354,purple,3,14.0,16.706,16.02,purple,3,3,1.0,0.0
82,emxl0g1y,lr760p37,4,3,0.556,28.0,3.156,2.6,black,3,12.0,19.033,18.477,black,3,3,1.0,0.0
83,emxl0g1y,lr760p37,5,3,0.608,26.0,5.196,4.588,blue,3,14.0,16.954,16.346,blue,3,6,1.0,0.0
84,emxl0g1y,lr760p37,6,3,0.67,26.0,5.536,4.866,pink,2,24.0,7.618,6.948,cyan,2,5,0.0,0.0
85,emxl0g1y,lr760p37,7,5,0.672,28.0,3.321,2.649,teal,1,28.0,3.321,2.649,teal,1,3,1.0,0.0
86,emxl0g1y,lr760p37,8,3,0.802,28.0,3.64,2.838,black,3,14.0,16.834,16.032,beige,3,4,0.0,0.0
87,emxl0g1y,lr760p37,9,1,0.485,27.0,4.195,3.7100000000000004,brown,2,13.0,18.561,18.076,red,2,5,0.0,0.0
88,emxl0g1y,lr760p37,10,6,0.661,28.0,3.161,2.5,green,1,28.0,3.161,2.5,green,1,2,1.0,0.0
89,emxl0g1y,lr760p37,11,3,0.649,28.0,2.654,2.005,yellow,1,28.0,2.654,2.005,yellow,1,2,1.0,0.0
90,emxl0g1y,lr760p37,12,4,0.617,28.0,2.622,2.005,black,1,28.0,2.622,2.005,black,1,3,1.0,0.0
91,emxl0g1y,lr760p37,13,4,1.018,29.0,2.96,1.942,blue,1,29.0,2.96,1.942,blue,1,2,1.0,0.0
92,emxl0g1y,lr760p37,14,1,0.62,26.0,5.161,4.5409999999999995,cyan,5,2.0,29.298,28.677999999999997,cyan,5,5,1.0,0.0
93,emxl0g1y,lr760p37,15,2,0.748,29.0,3.069,2.3209999999999997,teal,9,3.0,27.725,26.977,teal,9,3,1.0,0.0
94,emxl0g1y,lr760p37,16,4,0.818,28.0,2.986,2.168,olive,3,19.0,12.765,11.947000000000001,black,3,2,0.0,0.0
95,emxl0g1y,lr760p37,17,5,0.612,28.0,2.655,2.0429999999999997,brown,5,3.0,28.546,27.934,blue,5,1,0.0,0.0
96,8uz9cuas,cb6yi0z3,2,5,0.307,20.0,10.803,10.496,green,1,20.0,10.803,10.496,green,1,6,1.0,0.0
97,8uz9cuas,cb6yi0z3,3,2,0.301,22.0,9.288,8.987,purple,1,22.0,9.288,8.987,purple,1,6,1.0,0.0
98,8uz9cuas,cb6yi0z3,4,3,0.385,19.0,12.063,11.678,magenta,1,19.0,12.063,11.678,magenta,1,6,1.0,0.0
99,8uz9cuas,cb6yi0z3,5,2,0.385,25.0,5.698,5.313000000000001,red,1,25.0,5.698,5.313000000000001,red,1,6,1.0,0.0
100,8uz9cuas,cb6yi0z3,6,3,0.231,24.0,6.848,6.617,cyan,1,24.0,6.848,6.617,cyan,1,6,1.0,0.0
101,8uz9cuas,cb6yi0z3,7,5,0.385,25.0,5.851,5.466,teal,1,25.0,5.851,5.466,teal,1,5,1.0,0.0
102,8uz9cuas,cb6yi0z3,8,4,0.37,26.0,5.413,5.043,magenta,1,26.0,5.413,5.043,magenta,1,4,1.0,0.0
103,8uz9cuas,cb6yi0z3,9,5,0.285,23.0,8.305,8.02,indigo,1,23.0,8.305,8.02,indigo,1,6,1.0,0.0
104,8uz9cuas,cb6yi0z3,10,1,0.586,25.0,5.952,5.366,green,1,25.0,5.952,5.366,green,1,6,1.0,0.0
105,8uz9cuas,cb6yi0z3,11,6,0.316,26.0,5.06,4.744,purple,1,26.0,5.06,4.744,purple,1,5,1.0,0.0
106,8uz9cuas,cb6yi0z3,12,6,0.263,26.0,4.502,4.239,magenta,1,26.0,4.502,4.239,magenta,1,6,1.0,0.0
107,8uz9cuas,cb6yi0z3,13,5,0.278,25.0,5.316,5.038,red,1,25.0,5.316,5.038,red,1,6,1.0,0.0
108,8uz9cuas,cb6yi0z3,14,1,0.2,25.0,5.635,5.435,pink,2,9.0,21.369,21.169,cyan,2,6,0.0,0.0
109,8uz9cuas,cb6yi0z3,15,4,0.216,25.0,5.612,5.396,teal,2,20.0,11.143,10.927000000000001,purple,2,6,0.0,0.0
110,8uz9cuas,cb6yi0z3,16,3,0.263,27.0,3.424,3.161,magenta,1,27.0,3.424,3.161,magenta,1,5,1.0,0.0
111,8uz9cuas,cb6yi0z3,17,2,0.47,27.0,4.252,3.782,red,1,27.0,4.252,3.782,red,1,5,1.0,0.0
112,8uz9cuas,sssfnqxi,2,6,0.37,29.0,1.71,1.3399999999999999,green,1,29.0,1.71,1.3399999999999999,green,1,1,1.0,0.0
113,8uz9cuas,sssfnqxi,3,4,0.385,29.0,1.815,1.43,purple,1,29.0,1.815,1.43,purple,1,1,1.0,0.0
114,8uz9cuas,sssfnqxi,4,1,0.648,29.0,1.72,1.072,magenta,1,29.0,1.72,1.072,magenta,1,1,1.0,0.0
115,8uz9cuas,sssfnqxi,5,6,0.339,29.0,1.542,1.203,red,1,29.0,1.542,1.203,red,1,1,1.0,0.0
116,8uz9cuas,sssfnqxi,6,5,0.385,29.0,1.535,1.15,cyan,1,29.0,1.535,1.15,cyan,1,1,1.0,0.0
117,8uz9cuas,sssfnqxi,7,4,0.323,29.0,1.857,1.534,teal,1,29.0,1.857,1.534,teal,1,1,1.0,0.0
118,8uz9cuas,sssfnqxi,8,5,0.301,29.0,1.889,1.588,magenta,1,29.0,1.889,1.588,magenta,1,1,1.0,0.0
119,8uz9cuas,sssfnqxi,9,3,0.323,28.0,2.406,2.083,indigo,1,28.0,2.406,2.083,indigo,1,1,1.0,0.0
120,8uz9cuas,sssfnqxi,10,3,0.47,29.0,2.059,1.5890000000000002,green,1,29.0,2.059,1.5890000000000002,green,1,1,1.0,0.0
121,8uz9cuas,sssfnqxi,11,2,0.348,29.0,1.789,1.4409999999999998,purple,1,29.0,1.789,1.4409999999999998,purple,1,1,1.0,0.0
122,8uz9cuas,sssfnqxi,12,3,0.517,29.0,2.005,1.488,magenta,1,29.0,2.005,1.488,magenta,1,1,1.0,0.0
123,8uz9cuas,sssfnqxi,13,2,0.379,28.0,4.483,4.103999999999999,red,1,28.0,4.483,4.103999999999999,red,1,3,1.0,0.0
124,8uz9cuas,sssfnqxi,14,2,0.37,29.0,1.848,1.4780000000000002,pink,2,12.0,18.609,18.239,cyan,2,2,0.0,0.0
125,8uz9cuas,sssfnqxi,15,1,0.338,29.0,1.921,1.583,purple,1,29.0,1.921,1.583,purple,1,1,1.0,0.0
126,8uz9cuas,sssfnqxi,16,6,0.416,29.0,1.904,1.488,magenta,1,29.0,1.904,1.488,magenta,1,1,1.0,0.0
127,8uz9cuas,sssfnqxi,17,4,0.301,29.0,1.989,1.6880000000000002,red,1,29.0,1.989,1.6880000000000002,red,1,1,1.0,0.0
128,8uz9cuas,t5845qv3,2,2,0.655,28.0,2.891,2.2359999999999998,green,1,28.0,2.891,2.2359999999999998,green,1,3,1.0,0.0
129,8uz9cuas,t5845qv3,3,3,0.554,26.0,4.678,4.124,purple,1,26.0,4.678,4.124,purple,1,4,1.0,0.0
130,8uz9cuas,t5845qv3,4,6,0.532,27.0,3.639,3.1069999999999998,magenta,1,27.0,3.639,3.1069999999999998,magenta,1,3,1.0,0.0
131,8uz9cuas,t5845qv3,5,3,0.523,28.0,3.129,2.606,red,1,28.0,3.129,2.606,red,1,2,1.0,0.0
132,8uz9cuas,t5845qv3,6,4,0.47,26.0,4.896,4.426,cyan,1,26.0,4.896,4.426,cyan,1,5,1.0,0.0
133,8uz9cuas,t5845qv3,7,1,0.439,27.0,3.529,3.09,teal,1,27.0,3.529,3.09,teal,1,3,1.0,0.0
134,8uz9cuas,t5845qv3,8,2,0.555,27.0,5.428,4.873,magenta,1,27.0,5.428,4.873,magenta,1,5,1.0,0.0
135,8uz9cuas,t5845qv3,9,1,0.501,25.0,6.139,5.638,indigo,1,25.0,6.139,5.638,indigo,1,4,1.0,0.0
136,8uz9cuas,t5845qv3,10,5,0.787,27.0,3.74,2.9530000000000003,green,1,27.0,3.74,2.9530000000000003,green,1,3,1.0,0.0
137,8uz9cuas,t5845qv3,11,5,0.617,27.0,3.81,3.193,purple,1,27.0,3.81,3.193,purple,1,4,1.0,0.0
138,8uz9cuas,t5845qv3,12,4,0.448,27.0,3.756,3.308,magenta,1,27.0,3.756,3.308,magenta,1,5,1.0,0.0
139,8uz9cuas,t5845qv3,13,3,0.457,27.0,4.514,4.057,red,1,27.0,4.514,4.057,red,1,4,1.0,0.0
140,8uz9cuas,t5845qv3,14,5,0.602,27.0,3.931,3.329,cyan,1,27.0,3.931,3.329,cyan,1,5,1.0,0.0
141,8uz9cuas,t5845qv3,15,5,0.617,27.0,3.71,3.093,teal,2,24.0,6.982,6.365,purple,2,4,0.0,0.0
142,8uz9cuas,t5845qv3,16,1,0.448,28.0,3.125,2.677,magenta,1,28.0,3.125,2.677,magenta,1,4,1.0,0.0
143,8uz9cuas,t5845qv3,17,6,0.401,26.0,4.394,3.9930000000000003,red,1,26.0,4.394,3.9930000000000003,red,1,6,1.0,0.0
144,8uz9cuas,9lp8has6,2,4,0.608,28.0,2.675,2.0669999999999997,green,1,28.0,2.675,2.0669999999999997,green,1,2,1.0,0.0
145,8uz9cuas,9lp8has6,3,1,0.584,28.0,3.476,2.892,purple,1,28.0,3.476,2.892,purple,1,2,1.0,0.0
146,8uz9cuas,9lp8has6,4,4,0.601,27.0,3.971,3.37,magenta,3,21.0,9.721,9.120000000000001,magenta,3,4,1.0,0.0
147,8uz9cuas,9lp8has6,5,1,0.568,28.0,3.207,2.639,red,1,28.0,3.207,2.639,red,1,3,1.0,0.0
148,8uz9cuas,9lp8has6,6,2,0.57,27.0,4.295,3.725,cyan,1,27.0,4.295,3.725,cyan,1,4,1.0,0.0
149,8uz9cuas,9lp8has6,7,6,0.454,28.0,2.798,2.344,purple,2,26.0,5.308,4.854,teal,2,2,0.0,0.0
150,8uz9cuas,9lp8has6,8,3,0.639,28.0,3.095,2.4560000000000004,magenta,1,28.0,3.095,2.4560000000000004,magenta,1,2,1.0,0.0
151,8uz9cuas,9lp8has6,9,4,0.47,24.0,7.257,6.787,indigo,1,24.0,7.257,6.787,indigo,1,5,1.0,0.0
152,8uz9cuas,9lp8has6,10,4,0.941,28.0,3.774,2.833,green,1,28.0,3.774,2.833,green,1,4,1.0,0.0
153,8uz9cuas,9lp8has6,11,1,0.564,28.0,2.707,2.143,purple,1,28.0,2.707,2.143,purple,1,3,1.0,0.0
154,8uz9cuas,9lp8has6,12,2,0.548,28.0,2.684,2.136,magenta,1,28.0,2.684,2.136,magenta,1,3,1.0,0.0
155,8uz9cuas,9lp8has6,13,6,0.504,29.0,2.107,1.6030000000000002,red,1,29.0,2.107,1.6030000000000002,red,1,2,1.0,0.0
156,8uz9cuas,9lp8has6,14,6,0.671,29.0,2.628,1.957,pink,2,13.0,18.546,17.875,cyan,2,4,0.0,0.0
157,8uz9cuas,9lp8has6,15,2,0.454,29.0,2.422,1.9680000000000002,purple,1,29.0,2.422,1.9680000000000002,purple,1,3,1.0,0.0
158,8uz9cuas,9lp8has6,16,4,0.501,28.0,2.706,2.205,magenta,1,28.0,2.706,2.205,magenta,1,3,1.0,0.0
159,8uz9cuas,9lp8has6,17,3,0.501,28.0,2.891,2.39,indigo,2,24.0,6.646,6.145,red,2,4,0.0,0.0
160,8uz9cuas,w9wkio73,2,3,0.539,26.0,4.768,4.229,green,1,26.0,4.768,4.229,green,1,5,1.0,0.0
161,8uz9cuas,w9wkio73,3,6,0.686,25.0,5.882,5.196,purple,1,25.0,5.882,5.196,purple,1,5,1.0,0.0
162,8uz9cuas,w9wkio73,4,5,0.632,28.0,3.555,2.923,black,4,20.0,11.262,10.63,magenta,4,2,0.0,0.0
163,8uz9cuas,w9wkio73,5,5,0.553,27.0,3.932,3.379,red,1,27.0,3.932,3.379,red,1,4,1.0,0.0
164,8uz9cuas,w9wkio73,6,6,0.586,28.0,3.061,2.475,cyan,1,28.0,3.061,2.475,cyan,1,2,1.0,0.0
165,8uz9cuas,w9wkio73,7,2,0.47,27.0,3.876,3.4059999999999997,teal,1,27.0,3.876,3.4059999999999997,teal,1,4,1.0,0.0
166,8uz9cuas,w9wkio73,8,1,0.455,27.0,5.451,4.9959999999999996,black,2,23.0,7.47,7.015,magenta,2,6,0.0,0.0
167,8uz9cuas,w9wkio73,9,2,0.617,27.0,4.234,3.617,indigo,1,27.0,4.234,3.617,indigo,1,3,1.0,0.0
168,8uz9cuas,w9wkio73,10,6,1.214,29.0,2.644,1.4300000000000002,green,1,29.0,2.644,1.4300000000000002,green,1,2,1.0,0.0
169,8uz9cuas,w9wkio73,11,3,0.664,29.0,2.607,1.943,yellow,2,28.0,3.609,2.945,purple,2,2,0.0,0.0
170,8uz9cuas,w9wkio73,12,5,0.501,28.0,2.569,2.068,black,2,26.0,5.16,4.659,magenta,2,2,0.0,0.0
171,8uz9cuas,w9wkio73,13,4,0.773,29.0,2.076,1.303,blue,2,25.0,6.943,6.17,red,2,1,0.0,0.0
172,8uz9cuas,w9wkio73,14,3,0.57,29.0,1.805,1.2349999999999999,green,3,26.0,5.165,4.595,cyan,3,1,0.0,0.0
173,8uz9cuas,w9wkio73,15,6,0.554,29.0,2.29,1.736,teal,2,27.0,4.047,3.4929999999999994,purple,2,2,0.0,0.0
174,8uz9cuas,w9wkio73,16,2,0.586,29.0,2.537,1.951,magenta,1,29.0,2.537,1.951,magenta,1,2,1.0,0.0
175,8uz9cuas,w9wkio73,17,1,0.533,28.0,2.59,2.057,red,1,28.0,2.59,2.057,red,1,3,1.0,0.0
176,8uz9cuas,73miqkxo,2,1,0.67,27.0,3.963,3.293,green,1,27.0,3.963,3.293,green,1,4,1.0,0.0
177,8uz9cuas,73miqkxo,3,5,0.802,27.0,4.124,3.3219999999999996,purple,1,27.0,4.124,3.3219999999999996,purple,1,3,1.0,0.0
178,8uz9cuas,73miqkxo,4,2,0.585,27.0,4.373,3.7880000000000003,magenta,1,27.0,4.373,3.7880000000000003,magenta,1,5,1.0,0.0
179,8uz9cuas,73miqkxo,5,4,0.608,27.0,4.048,3.44,blue,2,25.0,5.867,5.259,red,2,5,0.0,0.0
180,8uz9cuas,73miqkxo,6,1,0.555,28.0,3.11,2.5549999999999997,cyan,1,28.0,3.11,2.5549999999999997,cyan,1,3,1.0,0.0
181,8uz9cuas,73miqkxo,7,3,0.724,23.0,8.689,7.965,teal,1,23.0,8.689,7.965,teal,1,6,1.0,0.0
182,8uz9cuas,73miqkxo,8,6,0.517,28.0,3.507,2.99,magenta,1,28.0,3.507,2.99,magenta,1,3,1.0,0.0
183,8uz9cuas,73miqkxo,9,6,0.586,27.0,4.197,3.611,indigo,1,27.0,4.197,3.611,indigo,1,2,1.0,0.0
184,8uz9cuas,73miqkxo,10,2,1.241,28.0,4.125,2.884,green,1,28.0,4.125,2.884,green,1,5,1.0,0.0
185,8uz9cuas,73miqkxo,11,4,0.633,26.0,5.476,4.843,purple,1,26.0,5.476,4.843,purple,1,6,1.0,0.0
186,8uz9cuas,73miqkxo,12,1,0.648,28.0,3.27,2.622,magenta,1,28.0,3.27,2.622,magenta,1,4,1.0,0.0
187,8uz9cuas,73miqkxo,13,1,0.689,27.0,4.536,3.8469999999999995,blue,2,24.0,6.742,6.053,red,2,5,0.0,0.0
188,8uz9cuas,73miqkxo,14,4,0.617,29.0,2.374,1.7570000000000001,cyan,1,29.0,2.374,1.7570000000000001,cyan,1,3,1.0,0.0
189,8uz9cuas,73miqkxo,15,3,0.601,27.0,4.341,3.74,purple,1,27.0,4.341,3.74,purple,1,5,1.0,0.0
190,8uz9cuas,73miqkxo,16,5,0.648,28.0,3.656,3.008,magenta,1,28.0,3.656,3.008,magenta,1,6,1.0,0.0
191,8uz9cuas,73miqkxo,17,5,0.57,29.0,2.553,1.983,red,1,29.0,2.553,1.983,red,1,2,1.0,0.0
