SessionCode,RoundCode,NumberChoices,ExtraClicks
lefz84r6,3,6,1.0
lefz84r6,4,5,0.0
lefz84r6,5,7,0.0
lefz84r6,6,6,0.0
lefz84r6,7,7,2.0
lefz84r6,8,6,2.0
lefz84r6,9,6,6.0
lefz84r6,10,7,7.0
lefz84r6,11,8,2.0
lefz84r6,12,8,4.0
lefz84r6,13,6,4.0
lefz84r6,14,7,5.0
lefz84r6,15,9,2.0
lefz84r6,16,10,8.0
lefz84r6,17,6,8.0
mwzdrrir,2,15,12.0
mwzdrrir,3,6,0.0
mwzdrrir,4,6,0.0
mwzdrrir,5,6,0.0
mwzdrrir,6,7,1.0
mwzdrrir,7,8,4.0
mwzdrrir,8,7,12.0
mwzdrrir,9,7,2.0
mwzdrrir,10,6,0.0
mwzdrrir,11,6,0.0
mwzdrrir,12,6,2.0
mwzdrrir,13,6,6.0
mwzdrrir,14,6,4.0
mwzdrrir,15,9,10.0
mwzdrrir,16,6,1.0
mwzdrrir,17,9,2.0
q32n8r51,2,6,0.0
q32n8r51,3,6,0.0
q32n8r51,4,8,1.0
q32n8r51,5,7,0.0
q32n8r51,6,7,0.0
q32n8r51,7,7,0.0
q32n8r51,8,9,1.0
q32n8r51,9,7,0.0
q32n8r51,10,6,0.0
q32n8r51,11,12,0.0
q32n8r51,12,6,0.0
q32n8r51,13,6,0.0
q32n8r51,14,9,1.0
q32n8r51,15,14,0.0
q32n8r51,16,7,0.0
q32n8r51,17,13,0.0
s3mxv2mt,2,8,0.0
s3mxv2mt,3,7,0.0
s3mxv2mt,4,7,0.0
s3mxv2mt,5,6,0.0
s3mxv2mt,6,7,0.0
s3mxv2mt,7,7,0.0
s3mxv2mt,8,11,2.0
s3mxv2mt,9,10,0.0
s3mxv2mt,10,22,1.0
s3mxv2mt,11,9,0.0
s3mxv2mt,12,7,0.0
s3mxv2mt,13,10,0.0
s3mxv2mt,14,9,0.0
s3mxv2mt,15,20,0.0
s3mxv2mt,16,6,0.0
s3mxv2mt,17,7,0.0
smt3x2oq,2,12,3.0
smt3x2oq,3,10,12.0
smt3x2oq,4,11,7.0
smt3x2oq,5,13,6.0
smt3x2oq,6,23,7.0
smt3x2oq,7,20,7.0
smt3x2oq,8,11,1.0
smt3x2oq,9,13,2.0
smt3x2oq,10,11,1.0
smt3x2oq,11,10,6.0
smt3x2oq,12,8,1.0
smt3x2oq,13,8,1.0
smt3x2oq,14,11,4.0
smt3x2oq,15,13,1.0
smt3x2oq,16,8,2.0
smt3x2oq,17,12,8.0
tr7j8p5u,2,9,1.0
tr7j8p5u,3,8,0.0
tr7j8p5u,4,7,0.0
tr7j8p5u,5,15,0.0
tr7j8p5u,6,9,0.0
tr7j8p5u,7,7,0.0
tr7j8p5u,8,9,1.0
tr7j8p5u,9,9,0.0
tr7j8p5u,10,6,0.0
tr7j8p5u,11,6,0.0
tr7j8p5u,12,12,1.0
tr7j8p5u,13,6,0.0
tr7j8p5u,14,7,0.0
tr7j8p5u,15,8,1.0
tr7j8p5u,16,6,0.0
tr7j8p5u,17,7,0.0
udqawmho,2,12,2.0
udqawmho,3,11,3.0
udqawmho,4,14,0.0
udqawmho,5,10,3.0
udqawmho,6,13,5.0
udqawmho,7,8,0.0
udqawmho,8,10,1.0
udqawmho,9,10,5.0
udqawmho,10,7,0.0
udqawmho,11,7,0.0
udqawmho,12,7,1.0
udqawmho,13,7,0.0
udqawmho,14,8,2.0
udqawmho,15,8,0.0
udqawmho,16,7,0.0
udqawmho,17,7,0.0
wdt8k9cv,2,6,0.0
wdt8k9cv,3,6,0.0
wdt8k9cv,4,9,0.0
wdt8k9cv,5,8,0.0
wdt8k9cv,6,6,0.0
wdt8k9cv,7,6,0.0
wdt8k9cv,8,14,1.0
wdt8k9cv,9,15,0.0
wdt8k9cv,10,12,1.0
wdt8k9cv,11,8,0.0
wdt8k9cv,12,11,1.0
wdt8k9cv,13,6,0.0
wdt8k9cv,14,10,0.0
wdt8k9cv,15,14,0.0
wdt8k9cv,16,9,0.0
wdt8k9cv,17,11,1.0
xoaxn8b5,2,30,2.0
xoaxn8b5,3,18,3.0
xoaxn8b5,4,21,2.0
xoaxn8b5,5,16,2.0
xoaxn8b5,6,6,1.0
xoaxn8b5,7,8,0.0
xoaxn8b5,8,11,1.0
xoaxn8b5,9,11,0.0
xoaxn8b5,10,6,0.0
xoaxn8b5,11,14,0.0
xoaxn8b5,12,7,0.0
xoaxn8b5,13,16,0.0
xoaxn8b5,14,13,0.0
xoaxn8b5,15,16,0.0
xoaxn8b5,16,9,0.0
xoaxn8b5,17,9,0.0
xros1iar,2,8,0.0
xros1iar,3,11,1.0
xros1iar,4,8,0.0
xros1iar,5,14,0.0
xros1iar,6,8,0.0
xros1iar,7,6,0.0
xros1iar,8,9,0.0
xros1iar,9,7,0.0
xros1iar,10,7,0.0
xros1iar,11,9,0.0
xros1iar,12,11,1.0
xros1iar,13,11,1.0
xros1iar,14,12,0.0
xros1iar,15,6,0.0
xros1iar,16,10,0.0
xros1iar,17,10,0.0
